;ds;yhat
0;1987-05-20;17.695990925546994
1;1987-05-21;17.797583409500717
2;1987-05-22;17.832485230271644
3;1987-05-25;17.884770533807632
4;1987-05-26;17.81325946368681
5;1987-05-27;17.77405042687306
6;1987-05-28;17.861890159222362
7;1987-05-29;17.884283423939422
8;1987-06-01;17.908432585580822
9;1987-06-02;17.831038917072217
10;1987-06-03;17.78773765589734
11;1987-06-04;17.873219972093263
12;1987-06-05;17.8948868483788
13;1987-06-08;17.92502149086369
14;1987-06-09;17.85166628133569
15;1987-06-10;17.813048827053933
16;1987-06-11;17.90363198278134
17;1987-06-12;17.93059958586209
18;1987-06-16;17.907068712560296
19;1987-06-17;17.872409867104146
20;1987-06-18;17.966470293347488
21;1987-06-19;17.996458754408856
22;1987-06-22;18.04900080654548
23;1987-06-23;17.98223580056425
24;1987-06-24;17.94990511531032
25;1987-06-25;18.046630986118537
26;1987-06-26;18.079796089460743
27;1987-06-29;18.146446552866955
28;1987-06-30;18.086277096349015
29;1987-07-01;18.061576149963024
30;1987-07-02;18.166948549379768
31;1987-07-03;18.209707144192333
32;1987-07-06;18.30931302141461
33;1987-07-07;18.260759502973833
34;1987-07-08;18.247494858015603
35;1987-07-09;18.363772166627847
36;1987-07-10;18.41652849912906
37;1987-07-13;18.536798252028692
38;1987-07-14;18.490769255353914
39;1987-07-15;18.47728525038764
40;1987-07-16;18.590326560324762
41;1987-07-17;18.636616389137796
42;1987-07-20;18.71704126694981
43;1987-07-21;18.650967686774166
44;1987-07-22;18.614300609919916
45;1987-07-23;18.701297904321176
46;1987-07-24;18.719044535542466
47;1987-07-27;18.703583828576146
48;1987-07-28;18.604014385377873
49;1987-07-29;18.534135368651548
50;1987-07-30;18.58886944656108
51;1987-07-31;18.575966452321985
52;1987-08-03;18.484529970845827
53;1987-08-04;18.366820779388867
54;1987-08-05;18.283152827662015
55;1987-08-06;18.328771442267595
56;1987-08-07;18.31164555272256
57;1987-08-10;18.23738889907663
58;1987-08-11;18.1349328743821
59;1987-08-12;18.070779704966387
60;1987-08-13;18.1397102629857
61;1987-08-14;18.149132679855413
62;1987-08-17;18.16716772666714
63;1987-08-18;18.09716015703671
64;1987-08-19;18.064959723941072
65;1987-08-20;18.16454252224907
66;1987-08-21;18.202538909317287
67;1987-08-24;18.286861432251897
68;1987-08-25;18.230544748846743
69;1987-08-26;18.207119746982112
70;1987-08-27;18.31030994256849
71;1987-08-28;18.3466211989221
72;1987-08-31;18.39486575450921
73;1987-09-01;18.31707284279355
74;1987-09-02;18.26819310912851
75;1987-09-03;18.342556900921085
76;1987-09-04;18.347362963011868
77;1987-09-07;18.292862665082254
78;1987-09-08;18.180858202939074
79;1987-09-09;18.099184106365815
80;1987-09-10;18.142970683391585
81;1987-09-11;18.120161678372632
82;1987-09-14;18.00683211321859
83;1987-09-15;17.88479426140039
84;1987-09-16;17.798363943871646
